page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-03-15,15:43:00,Facebook,6477,"YES, she is ""Kadra Mohamed"" , Minnesota’s first hijab wearing police woman and the first Somali female officer. Kadra Mohamed is only 21 years old and already making history.",https://www.facebook.com/MuslimAmerica/posts/1571752036475232,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,278757,2017-05-22,13:41:00,Facebook,6461,"Killing Muslims, Bombing Mosques, Destroying Muslim countries, changing Islamic teachings and destroying the image of Muslims all over the world!",https://www.facebook.com/MuslimAmerica/posts/1801465860170514,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,320422,2017-07-18,16:48:00,Facebook,6289,The mainstream media doesn't use good examples of Muslims but ONLY negative examples and all of a sudden all Muslims are villains and Islam is to blame.,https://www.facebook.com/MuslimAmerica/posts/1842419159408517,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-03,16:57:00,Facebook,6275,R.I.P Dr Ahmed Zewail. Share and be the media....,https://www.facebook.com/MuslimAmerica/posts/1647280615589040,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,266726,2017-04-02,15:40:00,Facebook,5991,"Like and share to educate those who don't know the truth, PLEASE!",https://www.facebook.com/MuslimAmerica/posts/1783479305302503,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,256202,2017-03-10,10:42:00,Facebook,5989,How many likes can they get as a support ?,https://www.facebook.com/MuslimAmerica/posts/1769444710039296,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-10-29,13:02:01,Facebook,5955,May Allah bless you Champ.,https://www.facebook.com/MuslimAmerica/posts/1696776543972780,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-10-17,10:44:01,Facebook,5914,How media is projecting Muslims !!!,https://www.facebook.com/MuslimAmerica/posts/1685872825063152,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-11-29,11:09:27,Facebook,5908,"Thanks mr Morgan, we all appreciate you and your kind words.",https://www.facebook.com/MuslimAmerica/posts/1714387662211668,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,261692,2017-03-23,15:47:29,Facebook,5827,We mean the governments and not the good people and our friends!,https://www.facebook.com/MuslimAmerica/posts/1777466132570487,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-20,11:41:00,Facebook,5764,Muslim-Americans fear U.S. government more than ISIS !!,https://www.facebook.com/MuslimAmerica/posts/1656009734716128,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-11-21,10:12:38,Facebook,5694,"Allahu Akbar! Beautiful #Quran recitation by a young American brother",https://www.facebook.com/MuslimAmerica/posts/1710029125980855,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,249778,2017-02-28,15:55:00,Facebook,5595,Thanks for the racists who make us all unite!,https://www.facebook.com/MuslimAmerica/posts/1764718830511884,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,267902,2017-04-06,10:36:58,Facebook,5587,At least give her a LIKE,https://www.facebook.com/MuslimAmerica/posts/1785995881717512,GMT-0400 
