source,page_url,page_status,total_shares,interactions,number_of_posts,word_count
Blacktivists,Facebook.com/Blacktivists,removed,103767792,6182835,500+,15349
Heart of Texas ,Facebook.com/Txrebels,removed,102950151,3453143,500+,
United Muslims of America,Facebook.Com/MuslimAmerica,removed,71355895,2128875,500+,6892
Being Patriotic,Facebook.Com/Patriototus,removed,51139860,4438745,500+,53782
Secured Borders,Facebook.Com/Secured.Borders,removed,5600136,1592771,500+,53850
LGBT United,Facebook.Com/Lgtbun,removed,5187494,1262386,500+,15020
