source,page_url,followers,date,time,time_zone,interactions,post_type,post_message,post_link
Heart of Texas,Facebook.com/Txrebels,217785,2017-05-10,19:00:00, GMT-0400,12233,Facebook,,https://www.facebook.com/txrebels/posts/1218597028262118
Heart of Texas,Facebook.com/Txrebels,189051,2017-03-06,17:00:01, GMT-0500,12085,Facebook,,https://www.facebook.com/txrebels/posts/1150332201755268
Heart of Texas,Facebook.com/Txrebels,245271,2017-08-06,20:00:00, GMT-0400,12058,Facebook,,https://www.facebook.com/txrebels/posts/1307221946066292
Heart of Texas,Facebook.com/Txrebels,224132,2017-06-09,19:00:00, GMT-0400,12044,Facebook,,https://www.facebook.com/txrebels/posts/1248363221952165
Heart of Texas,Facebook.com/Txrebels,215476,2017-05-02,19:03:00, GMT-0400,11902,Facebook,,https://www.facebook.com/txrebels/posts/1203146729807148
I Love Texas,Facebook.com/Txrebels,373495,2017-06-15,07:36:51, GMT-0400,11581,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102018659169
Heart of Texas,Facebook.com/Txrebels,194687,2017-03-24,19:00:00, GMT-0400,11417,Facebook,,https://www.facebook.com/txrebels/posts/1167857043336117
Heart of Texas,Facebook.com/Txrebels,211510,2017-04-20,18:00:00, GMT-0400,11302,Facebook,,https://www.facebook.com/txrebels/posts/1199359873519167
I Love Texas,Facebook.com/Txrebels,373495,2017-06-15,07:37:11, GMT-0400,11142,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1314102145325823
Heart of Texas,Facebook.com/Txrebels,215610,2017-05-03,20:07:00, GMT-0400,11125,Facebook,,https://www.facebook.com/txrebels/posts/1203151906473297
Heart of Texas,Facebook.com/Txrebels,183464,2017-02-22,18:00:01, GMT-0500,11007,Facebook,,https://www.facebook.com/txrebels/posts/1138880886233733
Heart of Texas,Facebook.com/Txrebels,221630,2017-05-27,18:29:00, GMT-0400,10946,Facebook,,https://www.facebook.com/txrebels/posts/1230310887090732
I Love Texas,Facebook.com/Txrebels,362927,2017-04-12,17:01:12, GMT-0400,10855,Facebook,,https://www.facebook.com/ilovethegreatstateoftexas/posts/1253624298040275
Heart of Texas,Facebook.com/Txrebels,245271,2017-08-05,20:00:00, GMT-0400,10402,Facebook,,https://www.facebook.com/txrebels/posts/1307217126066774
Heart of Texas,Facebook.com/Txrebels,246612,2017-08-11,18:00:00, GMT-0400,10304,Facebook,,https://www.facebook.com/txrebels/posts/1314016362053517
Heart of Texas,Facebook.com/Txrebels,199162,2017-03-29,16:00:00, GMT-0400,10296,Facebook,,https://www.facebook.com/txrebels/posts/1172998256155329
Heart of Texas,Facebook.com/Txrebels,213056,2017-04-24,18:00:00, GMT-0400,10231,Facebook,,https://www.facebook.com/txrebels/posts/1204008823054272
Heart of Texas,Facebook.com/Txrebels,217785,2017-05-10,18:00:00, GMT-0400,10161,Facebook,,https://www.facebook.com/txrebels/posts/1218596004928887
Heart of Texas,Facebook.com/Txrebels,196759,2017-03-26,19:00:00, GMT-0400,10103,Facebook,,https://www.facebook.com/txrebels/posts/1167865736668581
Heart of Texas,Facebook.com/Txrebels,189458,2017-03-07,15:59:00, GMT-0500,9868,Facebook,,https://www.facebook.com/txrebels/posts/1151232194998602
Heart of Texas,Facebook.com/Txrebels,248065,2017-08-16,18:30:00, GMT-0400,9863,Facebook,,https://www.facebook.com/txrebels/posts/1319780364810450
Heart of Texas,Facebook.com/Txrebels,248568,2017-08-17,18:30:00, GMT-0400,9724,Facebook,,https://www.facebook.com/txrebels/posts/1320788158043004
Heart of Texas,Facebook.com/Txrebels,164428,2016-12-27,18:30:00, GMT-0500,9611,Facebook,,https://www.facebook.com/txrebels/posts/1084820848306404
Heart of Texas,Facebook.com/Txrebels,183745,2017-02-23,15:59:00, GMT-0500,9428,Facebook,,https://www.facebook.com/txrebels/posts/1138882782900210
Heart of Texas,Facebook.com/Txrebels,244655,2017-08-03,15:00:00, GMT-0400,9372,Facebook,,https://www.facebook.com/txrebels/posts/1306149882840165
Heart of Texas,Facebook.com/Txrebels,244655,2017-08-03,18:00:00, GMT-0400,9347,Facebook,,https://www.facebook.com/txrebels/posts/1306151142840039
Heart of Texas,Facebook.com/Txrebels,170235,2017-01-12,14:55:00, GMT-0500,9239,Facebook,,https://www.facebook.com/txrebels/posts/1098382056950283
Heart of Texas,Facebook.com/Txrebels,168668,2017-01-07,15:00:00, GMT-0500,9140,Facebook,,https://www.facebook.com/txrebels/posts/1085631604891995
Heart of Texas,Facebook.com/Txrebels,193568,2017-03-20,16:59:02, GMT-0400,9082,Facebook,,https://www.facebook.com/txrebels/posts/1163869200401568
Heart of Texas,Facebook.com/Txrebels,185692,2017-02-28,17:00:03, GMT-0500,9031,Facebook,,https://www.facebook.com/txrebels/posts/1145202438934911
Heart of Texas,Facebook.com/Txrebels,159148,2016-12-06,15:40:00, GMT-0500,8871,Facebook,,https://www.facebook.com/txrebels/posts/1065336826921473
Heart of Texas,Facebook.com/Txrebels,245850,2017-08-08,15:30:00, GMT-0400,8838,Facebook,,https://www.facebook.com/txrebels/posts/1311140472341106
Heart of Texas,Facebook.com/Txrebels,237521,2017-07-13,19:28:00, GMT-0400,8530,Facebook,,https://www.facebook.com/txrebels/posts/1283707328417754
Heart of Texas,Facebook.com/Txrebels,192820,2017-03-17,20:00:01, GMT-0400,8355,Facebook,,https://www.facebook.com/txrebels/posts/1161189330669555
Heart of Texas,Facebook.com/Txrebels,200986,2017-04-04,20:11:00, GMT-0400,8336,Facebook,,https://www.facebook.com/txrebels/posts/1173089309479557
Heart of Texas,Facebook.com/Txrebels,160730,2016-12-15,17:20:00, GMT-0500,8320,Facebook,,https://www.facebook.com/txrebels/posts/1074964495958706
Heart of Texas,Facebook.com/Txrebels,234260,2017-07-03,20:00:00, GMT-0400,8176,Facebook,,https://www.facebook.com/txrebels/posts/1273903792731441
Heart of Texas,Facebook.com/Txrebels,234018,2017-07-01,19:00:00, GMT-0400,8147,Facebook,,https://www.facebook.com/txrebels/posts/1270850646370089
Heart of Texas,Facebook.com/Txrebels,191401,2017-03-11,17:00:00, GMT-0500,8027,Facebook,,https://www.facebook.com/txrebels/posts/1151240694997752
Heart of Texas,Facebook.com/Txrebels,216631,2017-05-07,16:51:00, GMT-0400,7903,Facebook,,https://www.facebook.com/txrebels/posts/1203134036475084
Heart of Texas,Facebook.com/Txrebels,233888,2017-07-01,18:00:00, GMT-0400,7893,Facebook,,https://www.facebook.com/txrebels/posts/1267430006712153
Heart of Texas,Facebook.com/Txrebels,218863,2017-05-13,19:00:00, GMT-0400,7880,Facebook,,https://www.facebook.com/txrebels/posts/1219434504845037
Heart of Texas,Facebook.com/Txrebels,184091,2017-02-24,17:00:01, GMT-0500,7799,Facebook,,https://www.facebook.com/txrebels/posts/1138885116233310
Heart of Texas,Facebook.com/Txrebels,235677,2017-07-08,20:16:00, GMT-0400,7760,Facebook,,https://www.facebook.com/txrebels/posts/1274945105960643
Heart of Texas,Facebook.com/Txrebels,224320,2017-06-10,18:00:00, GMT-0400,7724,Facebook,,https://www.facebook.com/txrebels/posts/1247171395404681
Heart of Texas,Facebook.com/Txrebels,229567,2017-06-18,19:00:00, GMT-0400,7688,Facebook,,https://www.facebook.com/txrebels/posts/1256349877820166
Heart of Texas,Facebook.com/Txrebels,215476,2017-05-02,20:07:00, GMT-0400,7656,Facebook,,https://www.facebook.com/txrebels/posts/1203151669806654
Heart of Texas,Facebook.com/Txrebels,177029,2017-02-05,09:19:01, GMT-0500,7638,Facebook,,https://www.facebook.com/txrebels/posts/1119134834875005
Heart of Texas,Facebook.com/Txrebels,173588,2017-01-26,18:30:00, GMT-0500,7622,Facebook,,https://www.facebook.com/txrebels/posts/1113333242121831
